"",0,"k","58","1","1","2"
"k",798,"k","64","1","1","2"
"j",524,"j","83","2","2","2"
"k",580,"k","105","1","2","1"
"k",834,"k","111","1","2","1"
"k",609,"k","59","1","1","2"
"j",535,"j","85","2","2","2"
"j",605,"j","88","2","2","2"
"k",523,"k","39","1","1","1"
"j",479,"k","121","1","2","2"
"j",824,"j","87","2","2","2"
"j",737,"j","31","2","1","2"
"k",532,"k","116","1","2","2"
"k",563,"k","126","1","2","2"
"k",697,"k","122","1","2","2"
"k",688,"k","61","1","1","2"
"j",608,"j","8","2","1","1"
"j",679,"j","5","2","1","1"
"j",857,"j","96","2","2","2"
"j",764,"j","84","2","2","2"
"j",681,"j","7","2","1","1"
"k",733,"k","35","1","1","1"
"j",723,"j","76","2","2","1"
"k",975,"k","38","1","1","1"
"j",767,"j","9","2","1","1"
"j",1170,"j","81","2","2","2"
"j",664,"j","68","2","2","1"
"k",662,"k","107","1","2","1"
"k",739,"k","102","1","2","1"
"j",663,"j","82","2","2","2"
"k",521,"k","99","1","2","1"
"j",795,"j","11","2","1","1"
"j",655,"j","94","2","2","2"
"k",1171,"k","118","1","2","2"
"k",592,"k","109","1","2","1"
"k",627,"k","112","1","2","1"
"k",695,"k","115","1","2","2"
"j",974,"j","1","2","1","1"
"j",562,"j","2","2","1","1"
"k",566,"k","127","1","2","2"
"j",546,"j","30","2","1","2"
"j",611,"j","79","2","2","1"
"j",634,"j","71","2","2","1"
"k",613,"k","100","1","2","1"
"j",621,"j","23","2","1","2"
"k",616,"k","44","1","1","1"
"j",601,"j","27","2","1","2"
"k",662,"k","52","1","1","2"
"j",703,"j","24","2","1","2"
"j",621,"j","69","2","2","1"
"j",605,"j","65","2","2","1"
"j",518,"j","86","2","2","2"
"j",525,"j","78","2","2","1"
"k",643,"k","104","1","2","1"
"k",654,"k","113","1","2","2"
"k",685,"k","45","1","1","1"
"j",727,"j","13","2","1","1"
"j",692,"j","77","2","2","1"
"k",623,"k","124","1","2","2"
"k",682,"k","57","1","1","2"
"k",693,"k","98","1","2","1"
"j",773,"j","32","2","1","2"
"j",646,"j","4","2","1","1"
"k",740,"k","54","1","1","2"
"k",616,"k","97","1","2","1"
"j",761,"j","80","2","2","1"
"j",572,"j","90","2","2","2"
"j",490,"j","15","2","1","1"
"j",684,"j","67","2","2","1"
"j",524,"j","75","2","2","1"
"k",556,"k","40","1","1","1"
"k",697,"k","46","1","1","1"
"k",599,"k","103","1","2","1"
"j",846,"j","73","2","2","1"
"k",694,"k","55","1","1","2"
"j",693,"j","10","2","1","1"
"k",549,"k","48","1","1","1"
"k",670,"k","125","1","2","2"
"j",633,"j","6","2","1","1"
"j",539,"j","70","2","2","1"
"k",628,"k","58","1","1","2"
"k",627,"k","50","1","1","2"
"j",590,"j","25","2","1","2"
"k",614,"k","49","1","1","2"
"k",575,"k","120","1","2","2"
"j",681,"j","16","2","1","1"
"k",724,"k","110","1","2","1"
"k",565,"k","41","1","1","1"
"k",688,"k","117","1","2","2"
"j",669,"j","74","2","2","1"
"k",972,"k","114","1","2","2"
"j",538,"j","22","2","1","2"
"j",940,"j","29","2","1","2"
"j",563,"j","89","2","2","2"
"k",661,"k","37","1","1","1"
"j",589,"j","17","2","1","2"
"k",764,"k","128","1","2","2"
"k",588,"k","106","1","2","1"
"k",623,"k","53","1","1","2"
"k",597,"k","101","1","2","1"
"j",655,"j","21","2","1","2"
"k",677,"k","42","1","1","1"
"j",688,"j","95","2","2","2"
"j",646,"j","28","2","1","2"
"k",547,"k","60","1","1","2"
"j",595,"j","18","2","1","2"
"j",845,"j","91","2","2","2"
"j",718,"j","14","2","1","1"
"j",564,"j","93","2","2","2"
"j",545,"j","26","2","1","2"
"k",675,"k","47","1","1","1"
"j",480,"j","72","2","2","1"
"j",606,"j","12","2","1","1"
"j",561,"j","66","2","2","1"
"k",764,"k","36","1","1","1"
"k",801,"k","33","1","1","1"
"j",452,"j","3","2","1","1"
"k",635,"k","34","1","1","1"
"k",643,"k","62","1","1","2"
"k",685,"k","108","1","2","1"
"k",624,"k","51","1","1","2"
"j",597,"j","19","2","1","2"
"k",700,"k","43","1","1","1"
"k",610,"k","119","1","2","2"
"j",502,"j","20","2","1","2"
"k",611,"k","123","1","2","2"
"j",739,"j","92","2","2","2"
"k",810,"k","56","1","1","2"
"k",620,"k","63","1","1","2"
